category,question,option1,option2,option3,option4,correct
國語,下列「ˉ」中的字義，哪一個說明正確？,收「藏」：勸勉、鼓勵。,「赴」宴：前往、投向、奔向。,「獎」勵：把東西送給他人。,捐「贈」：保留、留下。,2
國語,「許多善心人士集資『捐贈』救護車給村民使用，村長特地頒發感謝狀表揚。」句中「捐贈」和下列何者的意思相似？,捐獻,稅捐,贈品,附贈。,1
國語,「這次全班的考試成績不理想，老師一番□□的話語，讓我們體會到認真學習的重要性。」空格中應填入下列何者？,自勵,鼓勵,鼓動,鼓掌。,2
國語,「學校志工將□□的二手衣物整理乾淨，再寄到非洲給當地的居民。」空格中應填入下列何者？,設計,宣布,募集,捐款。,3
國語,「教練看見訓練的選手能晉級參加奪冠的總決賽，內心□□□□。」空格中應填入下列何者？,皆大歡喜,喜不自禁,喜怒無常,喜新厭舊。,2
國語,「學校正在募集物資，準備送給偏鄉的小朋友。」句中「募集」的意思為何？,收集保藏。,招募聚集。,命令指揮。,躲避隱藏。,2
國語,「為了避免造成你的誤會，我一定要把心裡的話說個明白。」句中的「明白」意思為何？,理由、藉口。,了解、知道。,清楚、明確。,聰明、不糊塗。,3
國語,下列哪一個詞語的意思和其他三者不同？,喜不自禁,歡欣鼓舞,欣喜不已,愁眉不展。,4
國語,「老師請我們拿出小時候的玩具和衣服，□□給孤兒院的小朋友，大家紛紛響應。」空格中應填入下列何者？,付出,改變,幫助,捐贈。,4
國語,「既然參加了比賽，我們就應該全力以赴。」句中「全力以赴」的意思為何？,形容做事不夠認真，隨便應付。,投入全部的心力以達成目的。,形容零落殘敗、亂七八糟的景象。,形容情況迅速得出乎意料。,2
國語,根據蚊帳大使一文，下列何者最能說明凱瑟琳「擁夢飛翔」的成功關鍵？,她的運氣很好。,她從小就很會存錢。,她認識網路名人和富豪。,她透過持續的努力實踐目標。,4
國語,「學校圖書館提供各種類型的□□，讓我們自由翻閱。」空格中應填入下列何者？,標誌,日誌,雜誌,號誌。,3
國語,「雖然時間有限，但我們仍全力以赴完成任務。」句中「赴」的意思為何？,離開某個地方。,前往、投向、奔向。,贈送。,稱讚、表揚。,2
國語,「這趟旅行是我計畫很久的事，能夠實現，真是□□□□。」空格中應填入下列何者？,夢想成真,弄假成真,不慌不忙,悠然自得。,1
國語,「這是一條死巷，沒辦法通往其他地方。」句中「死」的意思為何？,喪失生命。,呆板、不靈活。,不通的、無法前進的。,拚命的。,3
國語,「這間麵包店的麵包既健康又美味，門口還張貼一張比賽優勝的□□，顧客總是大排長龍。」空格中應填入下列何者？,獎品,得獎,獎狀,領獎。,3
國語,「面對實力強勁的敵隊，每個隊員都□□□□，奮戰到最後一刻。」空格中應填入下列何者？,美夢成真,一筆一畫,喜不自禁,全力以赴。,4
國語,下列句子中的「收藏」，何者使用錯誤？,爺爺平時最喜歡「收藏」各國的紀念幣。,這本畫冊是他多年來的「收藏」精華。,警方出動大批警力圍捕「收藏」在山裡的逃犯。,博物館裡「收藏」了許多珍貴的歷史文物。,3
國語,下列何者和「收藏」的意思相反？,收錄,儲存,捨棄,珍藏。,3
國語,「獎狀」的「狀」字義為下列哪一個？,陳述、描寫。,獎勵或證明用的文書。,形態、容貌、樣子。,情況。,2
國語,「這些都是他平日精心的□□，絕不輕易示人。」空格中應填入下列何者？,儲存,收藏,儲藏,收納。,2
國語,「他決定□□自己珍貴的古董，並將所得全數捐給無家可歸的地震災民。」空格中應填入下列何者？,出賣,義賣,盜賣,變賣。,2
國語,下列句子中的「喜不自禁」，何者使用錯誤？,拿到夢寐以求的禮物，他「喜不自禁」的向爸爸道謝。,看到剛出生的小貓，小朋友都「喜不自禁」的發出讚嘆。,姐姐看著金榜題名的榜單，「喜不自禁」的與家人分享好消息。,面對這場突如其來的意外，他感到「喜不自禁」，手足無措。,4
國語,「贈禮給他人」一詞中的「贈」，可以用下列哪個字替換？,收,借,送,還。,3
國語,「媽媽將小弟弟的搖籃掛上□□後，就可以防止被蚊子叮咬了。」空格中應填入下列何者？,玩具,紗窗,蚊帳,棉被。,3
國語,「一隻蟑螂突然從客廳的角落爬出來，嚇得我□□□□。」空格中應填入下列何者？,從容不迫,驚慌失措,不慌不忙,悠然自得。,2
國語,「弟弟得知自己獲得全國繪畫大賽冠軍，喜不自禁的大聲歡呼。」句中「喜不自禁」的意思為何？,高興得不得了。,集中精神，專心一意。,情況迅速得出乎意料。,驚嚇慌張得不知如何應付。,1
國語,下列選項「疾」中的字義，何者前後相同？,瘧「疾」／「疾」病,「疾」馳／「疾」苦,積勞成「疾」／「疾」風知勁草,殘「疾」／大聲「疾」呼。,1
國語,下列哪個「狀」的意思和其他不同？,獎「狀」,現「狀」,委任「狀」,信用「狀」。,2
